Date,Customer,Invoice_To,Invoice_No,Market,Drop_Off_Point,Currency,Quantity_Sold,No_Boxes,Unit_Price,Total_Sales,Exchange_Rate_to_KES,Total_Sales_KES
07/02/2026,FLOWER HUB,FLOWER HUB,16042,Export,KN2,USD,8984,24,0.214826358,1930,130,250900
07/02/2026,BLACK TULIP,BLACK TULIP,16043,Export,GARDEN FREIGHT,USD,900,3,0.55,495,130,64350
07/02/2026,GULF FZCO,GULF FLOWERS,16044,Export,AIRFLO,USD,600,2,0.28,168,130,21840
07/02/2026,FLOWER HUB,FLOWER HUB,16045,Export,KN2,USD,1200,4,0.2,240,130,31200
07/02/2026,PASAFRICA,PASAFRICA(EPZ),16046,Export,AIRFLO,EUR,1200,4,0.28,336,140,47040
07/02/2026,FLORA EXPORT,OCTOFLOR,16047,Export,,EUR,5000,10,0.4,2000,140,280000
07/02/2026,AGRINORD,KNET,16048,Export,KN,USD,2520,5,0.126984127,320,130,41600
07/02/2026,PHILLIPE NANAE,,16049,Export,,USD,6000,13,0.330833333,1985,130,258050
07/02/2026,FLOWER HUB,FLOWER HUB,16050,Export,KN2,USD,6200,18,0.43,2666,130,346580
07/02/2026,GULF FZCO,GULF FLOWERS,16051,Export,AIRFLO,USD,2900,7,0.132413793,384,130,49920
07/02/2026,BLACK TULIP,BLACK TULIP,16052,Export,GARDEN FREIGHT,USD,800,3,0.17,136,130,17680
07/02/2026,WAFEX CYPRUS,WAFEX,16053,Export,AIRFLO,USD,1200,4,0.5,600,130,78000
08/02/2026,MUZNA,MUZNA FLOWERS,16054,Export,ORAKO C/O DRIPLETS,USD,3000,10,0.43,1290,130,167700
08/02/2026,TGW,DFG,16055,Export, AIRFLO,EUR,2000,10,0.53,1060,140,148400
08/02/2026,FLOWER HUB,FLOWER HUB,16056,Export,KN2,USD,840,2,0.43,361.2,130,46956
08/02/2026,WAFEX CYPRUS,WAFEX,16058,Export,AIRFLO,USD,1500,3,0.5,750,130,97500
08/02/2026,JUMILIATH,SALVEN FLOWERS,16059,Export,ORAKO,USD,837,6,0.308243728,258,130,33540
08/02/2026,ROSE PARIS,VARIJ FLOWERS,16060,Export,DHL,USD,2400,9,0.17,408,130,53040
08/02/2026,FLORAL HOUSE,ANAYA,16061,Export,DB SCHENKER,USD,4000,12,0.375,1500,130,195000
08/02/2026,OSAMA,OSAMA BAKIR,16062,Export,MONSTERA CARGO,USD,1460,5,0.29,423.4,130,55042
08/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16063,Export,FRESHFLOW,EUR,5660,13,0.142438163,806.2,140,112868
