Date,Customer,Invoice_To,Invoice_No,Market,Drop_Off_Point,Currency,Quantity_Sold,No_Boxes,Unit_Price,Total_Sales,Exchange_Rate_to_KES,Total_Sales_KES
2026-05-03,FLOWARD,OCTOFLO,16304.0,Export,AIRFLO,USD,250.0,1.0,0.28,70.0,130.0,9100.0
2026-05-03,FLOWER HUB,FLOWER HUB,16305.0,Export,KN2,USD,360.0,1.0,0.21,75.6,130.0,9828.0
2026-05-03,MODESTO,MF FLOWER,16306.0,Export,TTC,USD,500.0,1.0,0.12,60.0,130.0,7800.0
2026-05-03,FLOWER HUB,FLOWER HUB,16307.0,Export,KN2,USD,600.0,2.0,0.17,102.0,130.0,13260.0
2026-05-03,FLOWER HUB,FLOWER HUB,16308.0,Export,KN2,USD,2500.0,10.0,0.28,700.0,130.0,91000.0
2026-05-03,FLOWER HUB,FLOWER HUB,16309.0,Export,KN2,USD,300.0,1.0,0.17,51.0,130.0,6630.0
2026-06-03,TGW,DFG,16311.0,Export,AIRFLO,EUR,1300.0,5.0,0.16,208.0,140.0,29120.0
2026-06-03,FLOWER HUB,FLOWER HUB,16312.0,Export,KN2,USD,4640.0,19.0,0.2521551724137931,1170.0,130.0,152100.0
2026-06-03,Ward qurtubah,FRIENDS CARGO,16313.0,Export,,USD,6100.0,16.0,0.18327868852459017,1118.0,130.0,145340.0
2026-06-03,WAFEX MELBOURNE,WAFEX,16315.0,Export,KN1,USD,2500.0,5.0,0.148,370.0,130.0,48100.0
2026-06-03,OOO PODKOVA,MILELE,16316.0,Export,AIRFLO,USD,3860.0,8.0,0.13139896373056995,507.2,130.0,65936.0
2026-06-03,FLOWER HUB,FLOWER HUB,16318.0,Export,KN2,USD,2310.0,5.0,0.13883116883116883,320.7,130.0,41691.0
2026-06-03,SARL IMPORT,MERRY BERRY,16319.0,Export,,USD,2000.0,4.0,0.12,240.0,130.0,31200.0
2026-06-03,AGRINORD,KNET,16321.0,Export,KN1,USD,1480.0,3.0,0.13189189189189188,195.2,130.0,25376.0
2026-06-03,REHOBOTH,FLOWER AXIS,16322.0,Export,FRESHFLOW,USD,880.0,2.0,0.16999999999999998,149.6,130.0,19448.0
2026-06-03,FLOWARD,OCTOFLO,16323.0,Export,AIRFLO,USD,1392.0,4.0,0.15586206896551724,216.96,130.0,28204.8
2026-07-03,MODESTO,MF FLOWER,16317.0,Export,TTC,USD,400.0,1.0,0.14,56.0,130.0,7280.0
2026-07-03,FLOWARD,OCTOFLO,16320.0,Export,AIRFLO,USD,1800.0,6.0,0.17333333333333334,312.0,130.0,40560.0
2026-07-03,FLOWER HUB,FLOWER HUB,16325.0,Export,KN2,USD,810.0,3.0,0.21,170.1,130.0,22113.0
2026-07-03,SARL IMPORTS,MERRY BERRY,16326.0,Export,,USD,2500.0,5.0,0.12,300.0,130.0,39000.0
2026-07-03,WAFEX MELBOURNE,WAFEX,16327.0,Export,KN1,USD,4800.0,11.0,0.16375,786.0,130.0,102180.0
2026-07-03,FLOWERBYRS,OCTOFLO,16328.0,Export,FRESHFLOW,USD,1000.0,2.0,0.12,120.0,130.0,15600.0
2026-08-03,FLOWER AXIS,FLOWER AXIS,16330.0,Export,FRESHFLOW,USD,500.0,1.0,0.12,60.0,130.0,7800.0
2026-08-03,DOMUS,DOMUS FLOWER LLC,16331.0,Export,FREIGHTWINGS,USD,3410.0,11.0,0.17744868035190617,605.1,130.0,78663.0
2026-08-03,GOLDEN,GOLDEN FLOWERS,16332.0,Export,EXPOLANKA,EUR,4260.0,10.0,0.1511737089201878,644.0,140.0,90160.0
2026-08-03,FLOWER HUB,FLOWER HUB,16333.0,Export,KN2,USD,1450.0,5.0,0.17744827586206896,257.3,130.0,33449.0
2026-08-03,TGW,DFG,16334.0,Export,AIRFLO,EUR,1040.0,4.0,0.16,166.4,140.0,23296.0
2026-08-03,PASA,PASAFRICA,16335.0,Export,AIRFLO,EUR,1500.0,3.0,0.12,180.0,140.0,25200.0
2026-08-03,LP GLOBAL,LP GLOBAL,16314.0,Export,FRESHFLOW,USD,3220.0,11.0,0.21229813664596273,683.6,130.0,88868.0
2026-08-03,GFT LLC CO,GULF ,16336.0,Export,FREIGHTWINGS,USD,1000.0,2.0,0.135,135.0,130.0,17550.0
2026-09-03,FLOWER HUB,FLOWER HUB,16337.0,Export,KN2,USD,1150.0,4.0,0.17,195.5,130.0,25415.0
2026-09-03,PASA,PASAFRICA,16338.0,Export,AIRFLO,EUR,2000.0,4.0,0.14,280.0,140.0,39200.0
2026-09-03,TGW,DFG,16339.0,Export,AIRFLO,EUR,1040.0,4.0,0.16,166.4,140.0,23296.0
2026-09-03,DOMUS,DOMUS FLOWER LLC,16340.0,Export,FREIGHTWINGS,USD,2500.0,7.0,0.1598,399.5,130.0,51935.0
2026-11-03,FLOWER AXIS,FLOWER AXIS,16342.0,Export,FRESHFLOW,USD,1000.0,2.0,0.12,120.0,130.0,15600.0
2026-11-03,TGW,DFG,16343.0,Export,AIRFLO,EUR,2240.0,8.0,0.13857142857142857,310.4,140.0,43456.0
2026-11-03,FLOWER HUB,FLOWER HUB,16344.0,Export,KN2,USD,1440.0,5.0,0.1925,277.2,130.0,36036.0
2026-11-03,FLOWARD,OCTOFLO,16345.0,Export,KN,USD,2550.0,9.0,0.2627450980392157,670.0,130.0,87100.0
2026-11-03,FLOWARD,OCTOFLO,16346.0,Export,KN,USD,2000.0,7.0,0.2195,439.0,130.0,57070.0
2026-11-03,GFT LLC CO,GULF ,16347.0,Export,FREIGHTWINGS,USD,2580.0,11.0,0.22,567.6,130.0,73788.0
2026-11-03,PASA,PASAFRICA,16348.0,Export,AIRFLO,EUR,2520.0,6.0,0.19253968253968254,485.2,140.0,67928.0
2026-11-03,LUXURY,WAFEX,16349.0,Export,KN,USD,2100.0,7.0,0.28,588.0,130.0,76440.0
2026-11-03,IP HANDLERS,ETHAM,16350.0,Export,EXPOLANKA,USD,2000.0,4.0,0.06,120.0,130.0,15600.0
2026-11-03,WAFEX MELBOURNE,WAFEX,16351.0,Export,KN,USD,8700.0,17.0,0.1596551724137931,1389.0,130.0,180570.0
2026-11-03,DOMUS,DOMUS FLOWER LLC,16352.0,Export,FREIGHTWINGS,USD,1840.0,6.0,0.17103260869565218,314.7,130.0,40911.0
2026-11-03,LP GLOBAL,LP GLOBAL,16353.0,Export,MORGAN,USD,1360.0,2.0,0.12264705882352941,166.8,130.0,21684.0
2026-11-03,AL AZHAR,LUXURY ,16354.0,Export,FREIGHT IN TIMES,USD,4050.0,14.0,0.28,1134.0,130.0,147420.0
,TGW,DFG,16356.0,Export,AIRFLO,EUR,1040.0,4.0,0.08,83.2,140.0,11648.0
,FLOWER HUB,FLOWER HUB,16357.0,Export,KN2,USD,2560.0,10.0,0.231875,593.6,130.0,77168.0
,FLOWER AXIS,FLOWER AXIS,16358.0,Export,MITCHEL COTTS ,USD,2400.0,7.0,0.17125,411.0,130.0,53430.0
,LP GLOBAL,LP GLOBAL,16359.0,Export,,USD,1860.0,4.0,0.08967741935483872,166.8,130.0,21684.0
,JUMILIATH,SALVEN,16360.0,Export,ORAKO,USD,1200.0,5.0,0.2725,327.0,130.0,42510.0
,TABA,KENZI MCGREEN,16361.0,Export,MITCHEL COTTS ,USD,2400.0,7.0,0.2075,498.0,130.0,64740.0
,VARIJ,VARIJ FLOWERS,16362.0,Export,ORAKO,USD,7900.0,22.0,0.16683544303797468,1318.0,130.0,171340.0
,TRIVIA,TRIVIA LLC,16363.0,Export,EXPOLANKA,USD,980.0,4.0,0.18775510204081633,184.0,130.0,23920.0
,SLIKWEID,SLIKWEID ,16364.0,Export,KN2,EUR,1350.0,3.0,0.17,229.5,140.0,32130.0
